Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
3/24/2010,MEM,W 128-110,40,12,19,4,6,2,2,5,11,0,4,3,7,30,REGULAR SEASON STATS,W,128,110
3/27/2010,DAL,L 90-111,37,6,16,3,5,2,2,7,6,0,2,1,7,17,REGULAR SEASON STATS,L,90,111
3/28/2010,LAC,W 121-103,40,8,15,2,2,0,0,4,7,0,1,5,3,18,REGULAR SEASON STATS,W,121,103
3/31/2010,UTAH,L 104-128,34,6,16,1,4,2,3,2,6,0,0,5,4,15,REGULAR SEASON STATS,L,104,128
4/2/2010,NY,W 128-117,29,7,21,1,5,0,0,4,10,0,1,1,2,15,REGULAR SEASON STATS,W,128,117
4/4/2010,TOR,W 113-112,44,10,23,5,11,4,6,8,12,2,3,4,5,29,REGULAR SEASON STATS,W,113,112
4/6/2010,WSH,L 94-112,33,10,21,3,6,4,4,1,4,0,2,2,2,27,REGULAR SEASON STATS,L,94,112
4/7/2010,MIN,W 116-107,44,12,22,3,5,0,0,8,14,0,7,4,4,27,REGULAR SEASON STATS,W,116,107
4/10/2010,LAC,L 104-107,41,10,19,5,10,4,4,9,4,0,3,5,3,29,REGULAR SEASON STATS,L,104,107
4/11/2010,OKC,W 120-117,35,9,16,3,6,4,6,7,7,0,1,2,5,25,REGULAR SEASON STATS,W,120,117
4/13/2010,UTAH,L 94-103,41,5,15,1,4,6,6,5,6,0,2,4,2,17,REGULAR SEASON STATS,L,94,103
4/14/2010,POR,W 122-116,48,13,25,4,6,12,12,9,8,1,2,0,2,42,REGULAR SEASON STATS,W,122,116
